Time,V
1.9300E-06,2.2408355296E-02
1.9310E-06,2.2408247530E-02
1.9320E-06,2.2373674452E-02
1.9330E-06,2.2372454226E-02
1.9340E-06,2.2327831805E-02
1.9350E-06,2.2332684100E-02
1.9360E-06,2.2310859263E-02
1.9370E-06,2.2302577555E-02
1.9380E-06,2.2280430377E-02
1.9390E-06,2.2257333338E-02
1.9400E-06,2.2241333544E-02
1.9410E-06,2.2225320399E-02
1.9420E-06,2.2229552329E-02
1.9430E-06,2.2172259867E-02
1.9440E-06,2.2171645224E-02
1.9450E-06,2.2152292788E-02
1.9460E-06,2.2138516009E-02
1.9470E-06,2.2129126132E-02
1.9480E-06,2.2119082034E-02
1.9490E-06,2.2134149134E-02
1.9500E-06,2.2080958426E-02
1.9510E-06,2.2068357050E-02
1.9520E-06,2.2073379099E-02
1.9530E-06,2.2049853384E-02
1.9540E-06,2.2048536837E-02
1.9550E-06,2.2035169661E-02
1.9560E-06,2.2023107588E-02
1.9570E-06,2.2025893748E-02
1.9580E-06,2.2009276927E-02
1.9590E-06,2.1975237429E-02
1.9600E-06,2.1981322825E-02
1.9610E-06,2.1939182818E-02
1.9620E-06,2.1961079657E-02
1.9630E-06,2.1922048628E-02
1.9640E-06,2.1905978262E-02
1.9650E-06,2.1872896731E-02
1.9660E-06,2.1857783377E-02
1.9670E-06,2.1834463656E-02
1.9680E-06,2.1827441752E-02
1.9690E-06,2.1828797400E-02
1.9700E-06,2.1795265734E-02
1.9710E-06,2.1820209563E-02
1.9720E-06,2.1784244120E-02
1.9730E-06,2.1756006300E-02
1.9740E-06,2.1699581683E-02
1.9750E-06,2.1747185290E-02
1.9760E-06,2.1684871256E-02
1.9770E-06,2.1683347285E-02
1.9780E-06,2.1690652430E-02
1.9790E-06,2.1649996817E-02
1.9800E-06,2.1638162196E-02
1.9810E-06,2.1655828059E-02
1.9820E-06,2.1621300280E-02
1.9830E-06,2.1611123145E-02
1.9840E-06,2.1633992255E-02
1.9850E-06,2.1581256926E-02
1.9860E-06,2.1592297614E-02
1.9870E-06,2.1542512953E-02
1.9880E-06,2.1545861781E-02
1.9890E-06,2.1517036021E-02
1.9900E-06,2.1501790583E-02
1.9910E-06,2.1498807490E-02
1.9920E-06,2.1451074183E-02
1.9930E-06,2.1461251795E-02
1.9940E-06,2.1434672415E-02
1.9950E-06,2.1447612345E-02
1.9960E-06,2.1403327525E-02
1.9970E-06,2.1399442255E-02
1.9980E-06,2.1346891940E-02
1.9990E-06,2.1383861125E-02
2.0000E-06,2.1340618670E-02
2.0010E-06,2.1317040503E-02
2.0020E-06,2.1328545630E-02
2.0030E-06,2.1307717860E-02
2.0040E-06,2.1330015242E-02
2.0050E-06,2.1288442194E-02
2.0060E-06,2.1306896746E-02
2.0070E-06,2.1275924265E-02
2.0080E-06,2.1271401465E-02
2.0090E-06,2.1245568335E-02
2.0100E-06,2.1243694842E-02
2.0110E-06,2.1239727557E-02
2.0120E-06,2.1205707610E-02
2.0130E-06,2.1216010630E-02
2.0140E-06,2.1173541129E-02
2.0150E-06,2.1136070788E-02
2.0160E-06,2.1141543925E-02
2.0170E-06,2.1112430155E-02
2.0180E-06,2.1106307566E-02
2.0190E-06,2.1096526682E-02
2.0200E-06,2.1099439204E-02
2.0210E-06,2.1088937342E-02
2.0220E-06,2.1086937964E-02
2.0230E-06,2.1069829047E-02
2.0240E-06,2.1059985220E-02
2.0250E-06,2.1054820120E-02
2.0260E-06,2.1029553950E-02
2.0270E-06,2.1004368842E-02
2.0280E-06,2.0985784590E-02
2.0290E-06,2.0978312075E-02
2.0300E-06,2.0967576087E-02
2.0310E-06,2.0966831267E-02
2.0320E-06,2.0957101405E-02
2.0330E-06,2.0915290892E-02
2.0340E-06,2.0907686770E-02
2.0350E-06,2.0897957385E-02
2.0360E-06,2.0897712290E-02
2.0370E-06,2.0874437869E-02
2.0380E-06,2.0844838202E-02
2.0390E-06,2.0828355372E-02
2.0400E-06,2.0852423728E-02
2.0410E-06,2.0802702963E-02
2.0420E-06,2.0821304858E-02
2.0430E-06,2.0784456313E-02
2.0440E-06,2.0789974272E-02
2.0450E-06,2.0772418559E-02
2.0460E-06,2.0786624968E-02
2.0470E-06,2.0714498580E-02
2.0480E-06,2.0724388659E-02
2.0490E-06,2.0701921999E-02
2.0500E-06,2.0722898066E-02
2.0510E-06,2.0683183253E-02
2.0520E-06,2.0705874979E-02
2.0530E-06,2.0659409106E-02
2.0540E-06,2.0681148589E-02
2.0550E-06,2.0633522093E-02
2.0560E-06,2.0649698794E-02
