Time,V
1.0390E-06,5.9850990534E-03
1.0400E-06,5.9677261591E-03
1.0410E-06,5.9615719080E-03
1.0420E-06,5.9161587000E-03
1.0430E-06,5.9182266474E-03
1.0440E-06,5.8970024347E-03
1.0450E-06,5.9064008951E-03
1.0460E-06,5.8850691080E-03
1.0470E-06,5.8856199503E-03
1.0480E-06,5.8680731058E-03
1.0490E-06,5.8595304728E-03
1.0500E-06,5.8270035028E-03
1.0510E-06,5.8204321146E-03
1.0520E-06,5.7967779398E-03
1.0530E-06,5.8063287973E-03
1.0540E-06,5.8110536814E-03
1.0550E-06,5.7759193659E-03
1.0560E-06,5.7669538736E-03
1.0570E-06,5.7742239237E-03
1.0580E-06,5.7599909067E-03
1.0590E-06,5.7237919092E-03
1.0600E-06,5.7385257959E-03
1.0610E-06,5.7263458490E-03
1.0620E-06,5.7390722513E-03
1.0630E-06,5.7130876780E-03
1.0640E-06,5.7316669703E-03
1.0650E-06,5.6978456736E-03
1.0660E-06,5.6834821939E-03
1.0670E-06,5.6816330194E-03
1.0680E-06,5.6947767496E-03
1.0690E-06,5.6618374109E-03
1.0700E-06,5.6510397196E-03
1.0710E-06,5.6112900019E-03
1.0720E-06,5.6560243845E-03
1.0730E-06,5.6187395334E-03
1.0740E-06,5.6131593943E-03
1.0750E-06,5.6107795954E-03
1.0760E-06,5.6240213633E-03
1.0770E-06,5.5869730234E-03
1.0780E-06,5.5890934229E-03
1.0790E-06,5.5736198664E-03
1.0800E-06,5.5586508036E-03
1.0810E-06,5.5548874140E-03
1.0820E-06,5.5459821939E-03
1.0830E-06,5.5281545877E-03
1.0840E-06,5.5071573496E-03
1.0850E-06,5.4916641474E-03
1.0860E-06,5.4846422434E-03
1.0870E-06,5.4891914606E-03
1.0880E-06,5.4792581797E-03
1.0890E-06,5.4452648401E-03
1.0900E-06,5.4785898447E-03
1.0910E-06,5.4171379328E-03
1.0920E-06,5.4449465036E-03
1.0930E-06,5.4175207376E-03
1.0940E-06,5.4102098703E-03
1.0950E-06,5.4004587412E-03
1.0960E-06,5.3912678003E-03
1.0970E-06,5.3468828440E-03
1.0980E-06,5.3782720804E-03
1.0990E-06,5.3356632471E-03
1.1000E-06,5.3733583689E-03
1.1010E-06,5.3224371195E-03
1.1020E-06,5.3161297083E-03
1.1030E-06,5.3121776819E-03
1.1040E-06,5.3038664103E-03
1.1050E-06,5.3017650843E-03
