in s,CH2 in V
-5.8600E-07,1.9265571237E-03
-5.8500E-07,1.9647861123E-03
-5.8400E-07,1.9577842355E-03
-5.8300E-07,1.9416103959E-03
-5.8200E-07,1.9399080873E-03
-5.8100E-07,1.9409556985E-03
-5.8000E-07,1.9217892289E-03
-5.7900E-07,1.9377604127E-03
-5.7800E-07,1.9509077668E-03
-5.7700E-07,1.9491892457E-03
-5.7600E-07,1.9411821961E-03
-5.7500E-07,1.9283109307E-03
-5.7400E-07,1.9249821305E-03
-5.7300E-07,1.9401617646E-03
-5.7200E-07,1.9402070642E-03
-5.7100E-07,1.9520931840E-03
-5.7000E-07,1.9388471246E-03
-5.6900E-07,1.9480453134E-03
-5.6800E-07,1.9351268411E-03
-5.6700E-07,1.9293075204E-03
-5.6600E-07,1.9330282807E-03
-5.6500E-07,1.9579067826E-03
-5.6400E-07,1.9307914376E-03
-5.6300E-07,1.9642434716E-03
-5.6200E-07,1.9381399751E-03
-5.6100E-07,1.9451299310E-03
-5.6000E-07,1.9356685281E-03
-5.5900E-07,1.9484897256E-03
-5.5800E-07,1.9528151155E-03
-5.5700E-07,1.9490905404E-03
-5.5600E-07,1.9427147508E-03
-5.5500E-07,1.9395857453E-03
-5.5400E-07,1.9352722764E-03
-5.5300E-07,1.9366555810E-03
-5.5200E-07,1.9416614175E-03
-5.5100E-07,1.9499369264E-03
-5.5000E-07,1.9516244531E-03
-5.4900E-07,1.9449177384E-03
-5.4800E-07,1.9342437387E-03
-5.4700E-07,1.9538412690E-03
-5.4600E-07,1.9240537286E-03
-5.4500E-07,1.9390001893E-03
-5.4400E-07,1.9319468141E-03
-5.4300E-07,1.9314652085E-03
-5.4200E-07,1.9380221963E-03
-5.4100E-07,1.9364643693E-03
-5.4000E-07,1.9367242455E-03
-5.3900E-07,1.9132700562E-03
-5.3800E-07,1.9221220613E-03
-5.3700E-07,1.9388723969E-03
-5.3600E-07,1.9410186410E-03
-5.3500E-07,1.9151492715E-03
-5.3400E-07,1.9524293542E-03
-5.3300E-07,1.9415989518E-03
-5.3200E-07,1.9493075013E-03
-5.3100E-07,1.9302044511E-03
-5.3000E-07,1.9384813905E-03
-5.2900E-07,1.9283114076E-03
-5.2800E-07,1.9083572030E-03
-5.2700E-07,1.9467840791E-03
-5.2600E-07,1.9120646119E-03
-5.2500E-07,1.9433551431E-03
-5.2400E-07,1.9421444535E-03
-5.2300E-07,1.9277144074E-03
-5.2200E-07,1.9451528192E-03
-5.2100E-07,1.9255815148E-03
-5.2000E-07,1.9434838891E-03
-5.1900E-07,1.9254894853E-03
-5.1800E-07,1.9422736764E-03
-5.1700E-07,1.9372630715E-03
-5.1600E-07,1.9282708764E-03
-5.1500E-07,1.9212504029E-03
-5.1400E-07,1.9188867211E-03
-5.1300E-07,1.9434333444E-03
-5.1200E-07,1.9333978295E-03
-5.1100E-07,1.9327374101E-03
-5.1000E-07,1.9452133775E-03
-5.0900E-07,1.9324985147E-03
-5.0800E-07,1.9402309060E-03
-5.0700E-07,1.9254747033E-03
-5.0600E-07,1.9223485589E-03
-5.0500E-07,1.9346814752E-03
-5.0400E-07,1.9205046296E-03
-5.0300E-07,1.9225483537E-03
-5.0200E-07,1.9314294457E-03
-5.0100E-07,1.9250674844E-03
-5.0000E-07,1.9238496423E-03
-4.9900E-07,1.9344006181E-03
-4.9800E-07,1.9322300553E-03
-4.9700E-07,1.9408045411E-03
-4.9600E-07,1.9371061921E-03
