Time,V
1.1000E-06,5.6283537149E-03
1.1010E-06,5.6270366907E-03
1.1020E-06,5.6189733744E-03
1.1030E-06,5.5728628397E-03
1.1040E-06,5.5849239588E-03
1.1050E-06,5.5525341272E-03
1.1060E-06,5.5522619486E-03
1.1070E-06,5.5316229105E-03
1.1080E-06,5.5469606638E-03
1.1090E-06,5.5233194590E-03
1.1100E-06,5.5246406794E-03
1.1110E-06,5.5142013788E-03
1.1120E-06,5.4955578089E-03
1.1130E-06,5.4921682596E-03
1.1140E-06,5.4853815317E-03
1.1150E-06,5.5131908655E-03
1.1160E-06,5.4862327814E-03
1.1170E-06,5.4853767633E-03
1.1180E-06,5.4416111231E-03
1.1190E-06,5.4288364649E-03
1.1200E-06,5.4154516459E-03
1.1210E-06,5.4197229624E-03
1.1220E-06,5.4227480173E-03
1.1230E-06,5.4010414362E-03
1.1240E-06,5.4265794992E-03
1.1250E-06,5.4032009363E-03
1.1260E-06,5.3661997080E-03
1.1270E-06,5.3847700357E-03
1.1280E-06,5.3809118509E-03
1.1290E-06,5.3826736689E-03
1.1300E-06,5.3740341425E-03
1.1310E-06,5.3646719217E-03
1.1320E-06,5.3736391306E-03
1.1330E-06,5.3585939646E-03
1.1340E-06,5.3267162561E-03
1.1350E-06,5.3334842920E-03
1.1360E-06,5.3249031305E-03
1.1370E-06,5.3115539789E-03
1.1380E-06,5.2908861399E-03
1.1390E-06,5.2781736612E-03
1.1400E-06,5.2926363230E-03
1.1410E-06,5.2730287790E-03
1.1420E-06,5.2441393137E-03
1.1430E-06,5.2375145197E-03
1.1440E-06,5.2483221292E-03
1.1450E-06,5.2208837748E-03
1.1460E-06,5.2192915201E-03
1.1470E-06,5.1992950678E-03
1.1480E-06,5.2093641520E-03
1.1490E-06,5.1820522547E-03
1.1500E-06,5.1802744150E-03
1.1510E-06,5.1690197229E-03
1.1520E-06,5.1859325647E-03
1.1530E-06,5.1621956110E-03
1.1540E-06,5.1645687342E-03
1.1550E-06,5.1337789774E-03
1.1560E-06,5.1095823526E-03
1.1570E-06,5.1128591776E-03
1.1580E-06,5.1030723810E-03
1.1590E-06,5.0929451227E-03
1.1600E-06,5.0858677149E-03
1.1610E-06,5.0764171839E-03
1.1620E-06,5.0619316339E-03
1.1630E-06,5.0352304697E-03
1.1640E-06,5.0332388163E-03
1.1650E-06,5.0246477365E-03
1.1660E-06,5.0207144022E-03
1.1670E-06,5.0185375452E-03
1.1680E-06,5.0293796778E-03
1.1690E-06,5.0149078608E-03
1.1700E-06,5.0237999201E-03
1.1710E-06,4.9984318018E-03
1.1720E-06,4.9798856974E-03
1.1730E-06,4.9865829706E-03
1.1740E-06,4.9684513330E-03
1.1750E-06,4.9395712137E-03
1.1760E-06,4.9621256113E-03
1.1770E-06,4.9232378244E-03
1.1780E-06,4.9202877283E-03
1.1790E-06,4.9383533716E-03
1.1800E-06,4.9320331812E-03
1.1810E-06,4.9273380518E-03
1.1820E-06,4.9001194239E-03
1.1830E-06,4.8768244028E-03
1.1840E-06,4.8847334147E-03
1.1850E-06,4.8735506296E-03
1.1860E-06,4.8665924311E-03
1.1870E-06,4.8506918192E-03
1.1880E-06,4.8481651545E-03
1.1890E-06,4.8593551874E-03
1.1900E-06,4.8347873926E-03
1.1910E-06,4.8081814051E-03
1.1920E-06,4.8345653772E-03
1.1930E-06,4.7786825418E-03
1.1940E-06,4.7893680811E-03
1.1950E-06,4.7915909052E-03
1.1960E-06,4.7621361017E-03
1.1970E-06,4.7562622309E-03
1.1980E-06,4.7613918543E-03
1.1990E-06,4.7282242060E-03
1.2000E-06,4.7332777262E-03
1.2010E-06,4.7256431818E-03
1.2020E-06,4.7067943811E-03
1.2030E-06,4.7119144678E-03
1.2040E-06,4.7305095911E-03
1.2050E-06,4.7187141657E-03
1.2060E-06,4.7354162455E-03
1.2070E-06,4.7024578333E-03
1.2080E-06,4.7140299082E-03
1.2090E-06,4.6982279062E-03
1.2100E-06,4.7170816660E-03
1.2110E-06,4.6878860712E-03
1.2120E-06,4.6965257883E-03
1.2130E-06,4.6795290232E-03
1.2140E-06,4.6661455393E-03
1.2150E-06,4.6780035257E-03
1.2160E-06,4.6635317087E-03
1.2170E-06,4.6596428156E-03
1.2180E-06,4.6491852045E-03
1.2190E-06,4.6452356577E-03
1.2200E-06,4.6317386866E-03
1.2210E-06,4.6236797571E-03
1.2220E-06,4.6444528818E-03
1.2230E-06,4.6305910349E-03
1.2240E-06,4.6091211557E-03
1.2250E-06,4.6202297449E-03
1.2260E-06,4.6346256495E-03
1.2270E-06,4.6024875879E-03
1.2280E-06,4.5955646753E-03
1.2290E-06,4.5803312540E-03
1.2300E-06,4.5853796244E-03
1.2310E-06,4.5536165476E-03
1.2320E-06,4.5738016367E-03
1.2330E-06,4.5863237619E-03
1.2340E-06,4.5812780619E-03
1.2350E-06,4.5812664270E-03
1.2360E-06,4.5513721704E-03
1.2370E-06,4.5671695948E-03
1.2380E-06,4.5521587610E-03
1.2390E-06,4.5441124201E-03
1.2400E-06,4.5634674311E-03
1.2410E-06,4.5591465235E-03
